Cluster,Size,Pct,Top_Permit,Top_Job,Residential%,Avg_Year,Processing_Days,Label
632,62,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
633,78,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
634,62,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
635,51,0.0%,Equipment Work,Alteration Type 2,0.0%,2009,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
636,154,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
637,107,0.0%,Equipment,Alteration Type 3,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment
638,107,0.0%,Plumbing,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Plumbing
639,52,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
640,106,0.0%,Equipment,Alteration Type 3,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment
641,62,0.0%,Equipment,Alteration Type 3,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment
642,75,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
643,57,0.0%,Plumbing,New Building,100.0%,2003,N/A,Specialized/Rare Residential - Plumbing
644,194,0.0%,Equipment Work,Alteration Type 2,100.0%,2014,N/A,Specialized/Rare Residential - Equipment Work
645,78,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
646,113,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
647,53,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
648,126,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
649,88,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
650,67,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
651,56,0.0%,Plumbing,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Plumbing
652,52,0.0%,New Building,New Building,100.0%,2004,N/A,Specialized/Rare Residential - New Building
653,53,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
654,60,0.0%,Plumbing,New Building,100.0%,2003,N/A,Specialized/Rare Residential - Plumbing
655,100,0.0%,New Building,New Building,100.0%,2003,N/A,Specialized/Rare Residential - New Building
656,68,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
657,74,0.0%,New Building,New Building,100.0%,2003,N/A,Specialized/Rare Residential - New Building
658,56,0.0%,Plumbing,New Building,100.0%,2005,N/A,Specialized/Rare Residential - Plumbing
659,50,0.0%,Plumbing,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Plumbing
660,164,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
661,53,0.0%,Plumbing,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Plumbing
662,214,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
663,325,0.0%,Equipment Work,Alteration Type 2,0.0%,2018,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
664,86,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
665,154,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
666,123,0.0%,Plumbing,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Plumbing
667,77,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
668,65,0.0%,New Building,New Building,100.0%,2004,N/A,Specialized/Rare Residential - New Building
669,175,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
670,124,0.0%,Plumbing,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Plumbing
671,61,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
672,89,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
673,59,0.0%,New Building,New Building,100.0%,2004,N/A,Specialized/Rare Residential - New Building
674,84,0.0%,New Building,New Building,100.0%,2004,N/A,Specialized/Rare Residential - New Building
675,1271,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Small Commercial/Mixed - Equipment Work
676,1501,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Small Commercial/Mixed - Equipment Work
677,112,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
678,157,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
679,123,0.0%,Plumbing,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Plumbing
680,66,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
681,53,0.0%,New Building,New Building,100.0%,2004,N/A,Specialized/Rare Residential - New Building
682,65,0.0%,New Building,New Building,100.0%,2005,N/A,Specialized/Rare Residential - New Building
683,1480,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Small Commercial/Mixed - Equipment Work
684,91,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
685,97,0.0%,Plumbing,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
686,192,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
687,75,0.0%,New Building,New Building,100.0%,2005,N/A,Specialized/Rare Residential - New Building
688,193,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
689,113,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
690,62,0.0%,New Building,New Building,100.0%,2005,N/A,Specialized/Rare Residential - New Building
691,154,0.0%,Plumbing,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
692,71,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
693,71,0.0%,New Building,New Building,100.0%,2005,N/A,Specialized/Rare Residential - New Building
694,87,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
695,90,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
696,223,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
697,125,0.0%,New Building,New Building,100.0%,2005,N/A,Specialized/Rare Residential - New Building
698,114,0.0%,Plumbing,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Plumbing
699,127,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
700,99,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
